alt,image,link,title
Color photo shows a white tower and black lantern attached to a low building with a red roof and surrounded by green grass.,/static/portals/free-to-use/public-domain/lighthouses/lighthouses-1.jpg,/resource/highsm.12127/,"Heceta Head Lighthouse, Pacific Ocean, Oregon"
Color photo shows a  very tall tower with spiral bands in black and white. The base is red and surrounded by green grass.,/static/portals/free-to-use/public-domain/lighthouses/lighthouses-2.jpg,/resource/highsm.44760/,"Cape Hatteras Lighthouse, Outer Banks, North Carolina"
Black-and-white photo shows details of the lighting mechanism inside the glass lens.,/static/portals/free-to-use/public-domain/lighthouses/lighthouses-3.jpg,/resource/hhh.nc0497.photos/?sp=24,"Bodie Island Lighthouse, Outer Banks, North Carolina. Lamp inside the lens"
Color photo shows a red-painted square tower at the end of a pier.,/static/portals/free-to-use/public-domain/lighthouses/lighthouses-4.jpg,/resource/highsm.15168/,"Holland Harbor Light,  Lake Michigan, Michigan. Also known as Big Red"
Black-and-white photo shows a  white-painted tower on the beach. It is leaning over about seven degrees.,/static/portals/free-to-use/public-domain/lighthouses/lighthouses-5.jpg,/resource/hhh.fl0421.photos/?sp=1,"Cape St. George Light, Gulf of Mexico, Florida"
"Map with a brown background for both land and water has a red starburst atop a vertical black bar to show lighthouse locations along the Atlantic Ocean coastline. The names of the lighthouses as well as cities, rivers, islands, and  bays, are printed in black.",/static/portals/free-to-use/public-domain/lighthouses/lighthouses-6.jpg,/resource/g3721p.fi000169cr/,"A chart exhibiting the light houses and light vessels on the coast of the United States of America : from Maine to Virginia inclusive, 1848. Geography & Map Division"
"Map with a brown tone for land and beige for the lakes has red symbols to show lighthouse locations. The names of the lakes, rivers, islands, bays, and channels are printed in black.",/static/portals/free-to-use/public-domain/lighthouses/lighthouses-7.jpg,/resource/g3311p.fi000169a/,"A chart exhibiting the lighthouses of the lake coast of the United States of America. Great Lakes, 1848. Geography & Map Division"
Black-and-white architectural drawing shows two elevations of a tall tower with windows and a black-and-white diamond pattern.,/static/portals/free-to-use/public-domain/lighthouses/lighthouses-8.jpg,/resource/hhh.nc0610.sheet/?sp=4,"Cape Lookout Lighthouse, Outer Banks, North Carolina"
Color photo shows from a distance a white tower on a rocky shoreline with red-roof buildings nearby.,/static/portals/free-to-use/public-domain/lighthouses/lighthouses-9.jpg,/resource/highsm.45698/,"Portland Head Light, Casco Bay, Maine"
Color photo shows a tower with bands of red and white and a black lantern at the top.,/static/portals/free-to-use/public-domain/lighthouses/lighthouses-10.jpg,/resource/highsm.12154/,"West Quoddy Head Lighthouse, Lubec, Maine"
"Black-and-white photo shows a tower with bands of black and white standing behind the keeper's house. A small boy is in the foreground
",/static/portals/free-to-use/public-domain/lighthouses/lighthouses-11.jpg,/resource/ppmsca.09037/,"Fire Island Lighthouse, Atlantic Ocean, New York"
"Color photo shows a  tower with white on the bottom and red on the top, at the shore's edge.
",/static/portals/free-to-use/public-domain/lighthouses/lighthouses-12.jpg,/resource/highsm.12129/,"Barnegat Lighthouse, Atlantic Ocean, New Jersey"
"Black-and-white photo shows an octagonal tower with windows standing next to a keeper's house.
",/static/portals/free-to-use/public-domain/lighthouses/lighthouses-13.jpg,/resource/ppmsca.09028/,"Lynde Point Lighthouse, Long Island Sound, Connecticut"
"Color photo shows a short tower, painted white, with houses in the background.",/static/portals/free-to-use/public-domain/lighthouses/lighthouses-14.jpg,/resource/ppmsca.18159/,"Biloxi Light, Gulf of Mexico, Mississippi"
"Black-and-white architectural drawing shows two vertical sections through the three-story keeper's house that surrounds the tower with a lantern on top.
",/static/portals/free-to-use/public-domain/lighthouses/lighthouses-15.jpg,/resource/hhh.ca0581.sheet/?sp=4,"Old Point Loma Lighthouse, San Diego Bay, California"
Black-and-white architectural drawing shows the exterior and interior of a tower with seven small plans for comparison to other lighthouses.,/static/portals/free-to-use/public-domain/lighthouses/lighthouses-16.jpg,/resource/ppmsca.09362/,"Minot's Ledge Light, Cohasset Harbor, Massachusetts"
"Color photo shows a short white tower placed on a rocky point with a covered walkway to the keeper's house.
",/static/portals/free-to-use/public-domain/lighthouses/lighthouses-17.jpg,/resource/ppmsca.18187/,"Isles of Shoals Light, Atlantic Ocean, New Hampshire"
Black-and-white architectural drawing shows the tower and several details of the entrance door.,/static/portals/free-to-use/public-domain/lighthouses/lighthouses-18.jpg,/resource/hhh.pa0452.sheet/?sp=3,"Erie Land Light,  Lake Erie, Pennsylvania. Also known as Old Presque Isle Light"
"Color photo shows a white tower with a black lantern, adjacent to a two-story keeper's house. Snow covers the ground.
",/static/portals/free-to-use/public-domain/lighthouses/lighthouses-19.jpg,/resource/highsm.15342/,"Point Iroquois Lighthouse, Lake Superior, Michigan"
"Color photo shows, at night, a short white tower above a house at the shoreline.",/static/portals/free-to-use/public-domain/lighthouses/lighthouses-20.jpg,/resource/highsm.13098/,"Rose Island Lighthouse, Narragansett Bay, Rhode Island"
"Black-and-white architectural drawing shows a vertical section through the tower and the two-story keeper's house. The circular staircase is prominent in the tower.
",/static/portals/free-to-use/public-domain/lighthouses/lighthouses-21.jpg,/resource/hhh.mi0225.sheet/?sp=7,"Au Sable Light Station, Lake Superior, Michigan"
"Color photo shows a short, square, white tower above a  large two-story house behind a fence and flower border.",/static/portals/free-to-use/public-domain/lighthouses/lighthouses-22.jpg,/resource/highsm.15337/,"Point Fermin Light, San Pedro Bay, California"
"Color photo looks up the spiral staircase and shows the perforated, red-painted treads.",/static/portals/free-to-use/public-domain/lighthouses/lighthouses-23.jpg,/resource/highsm.15257/,"Spiral staircase at Thirty Mile Point Light, Lake Ontario, New York"
"A brown-toned pair of photos shows a short, pyramid-shaped  lighthouse with windows and a lantern. Buoys in different shapes and sizes are on the ground.",/static/portals/free-to-use/public-domain/lighthouses/lighthouses-24.jpg,/resource/ppmsca.09090/,"Light house and buoys, on display at the International Exhibition, Philadelphia, 1876"
"Black-and-white photo shows three men in a boat in the foreground with the short, square-tower lighthouse on a reef in the distance.",/static/portals/free-to-use/public-domain/lighthouses/lighthouses-25.jpg,/resource/ppmsca.09089/,"Stepping Stones Light, Long Island Sound, New York"
"Book illustration shows a skeletal tower on a platform anchored in the water offshore. Includes a keeper's house and a lantern at the top.
",/static/portals/free-to-use/public-domain/lighthouses/lighthouses-26.jpg,/resource/ppmsca.09363/,"Fowey Rocks Light, Key Biscayne, Florida"
"Aerial color photo shows a cylindrical white tower and the keeper's house on a small rocky island
",/static/portals/free-to-use/public-domain/lighthouses/lighthouses-27.jpg,/resource/highsm.46608/,"Cape Neddick Light, Nubble Island, Maine"
Color photo shows a short white tower with black lantern in a harbor setting.,/static/portals/free-to-use/public-domain/lighthouses/lighthouses-28.jpg,/resource/highsm.12128/,"Edgartown Harbor Light, Martha's Vineyard, Massachusetts"
Color photo shows two towers. The older lighthouse is brick with a green lantern. The newer tower has vertical bands in black and white.,/static/portals/free-to-use/public-domain/lighthouses/lighthouses-29.jpg,/resource/highsm.12152/,"Cape Henry lighthouses, Virginia Beach, Virginia"
"Black-and-white photo shows a spark-plug shaped, short tower with dark and light bands and surrounded by water.",/static/portals/free-to-use/public-domain/lighthouses/lighthouses-30.jpg,/resource/ppmsca.09094/,"Robbins Reef Light, Bayonne, New Jersey"
Color photo shows a hexagonal-shaped building on a screw pile surrounded by water with a motor boat underneath.,/static/portals/free-to-use/public-domain/lighthouses/lighthouses-31.jpg,/resource/highsm.05517/,"Middle Bay Light,  Mobile Bay, Alabama"
Color print shows a full rigged sailing ship moving across ocean waves. The lighthouse is on shore in the background with a schooner on the left and a sloop on the right,/static/portals/free-to-use/public-domain/lighthouses/lighthouses-32.jpg,/resource/ppmsca.58709/,"""Outward Bound,"" 1886"
Color print shows a lighthouse at night with its bright light shining in a stormy sea and a sailing ship in the background.,/static/portals/free-to-use/public-domain/lighthouses/lighthouses-33.jpg,/resource/ihas.100005404.0/?sp=1,"""The Lighthouse by the Sea,"" Sheet music cover, 1886. Music Division"
Black-and-white photo shows a small lighthouse at the base of a suspension bridge tower.,/static/portals/free-to-use/public-domain/lighthouses/lighthouses-34.jpg,/resource/hhh.ny1264.photos/?sp=22,"Little Red Lighthouse, under the George Washington Bridge, New York City"
Black-and-white photo shows a bell with a clapper suspended from a wooden beam with water in the background.,/static/portals/free-to-use/public-domain/lighthouses/lighthouses-35.jpg,/resource/hhh.me0226.photos/?sp=9,"Fort Point Light Station, Penobscot Bay, Maine. Fog bell"
Color photo shows a skeletal black tower with a central cylinder and a lantern with weather vane. Tall grass is at the base and white painted buildings in the background.,/static/portals/free-to-use/public-domain/lighthouses/lighthouses-36.jpg,/resource/hhh.pr0047.photos/?sp=1,"Mona Island Light, Puerto Rico"
Black-and-white architectural drawing shows the service floor level and the lantern and weather vane at the top of the light.,/static/portals/free-to-use/public-domain/lighthouses/lighthouses-37.jpg,/resource/hhh.wi0305.sheet/?sp=5,"Devils Island Light, Lake Superior, Wisconsin"
Color photo shows the white lantern above a red-painted band on a spark plug style lighthouse. Displayed on land.,/static/portals/free-to-use/public-domain/lighthouses/lighthouses-38.jpg,/resource/highsm.26652/,"Sabine Bank Light, Gulf of Mexico, Texas. Lantern, on display in a museum park"
"Color photo shows a pier in the foreground with a red-roofed house and short tower in the background, surrounded on two sides by blue water.",/static/portals/free-to-use/public-domain/lighthouses/lighthouses-39.jpg,/resource/highsm.50327/,"The Mukilteo Light, Possession Sound, Washington"
Color photo shows a white octagonal tower and mountains in the distance with flat brown turf in the foreground.,/static/portals/free-to-use/public-domain/lighthouses/lighthouses-40.jpg,/resource/hhh.hi0156.photos/?sp=1,"Moloka'i Light, Hawaii"
Color photo shows the glass lens and glass windows in the lantern with two foghorns atop the building below and the blue lake water beyond.,/static/portals/free-to-use/public-domain/lighthouses/lighthouses-41.jpg,/resource/hhh.mn0184.photos/?sp=3,"Split Rock Lighthouse, Lake Superior, Minnesota. Fresnel lens in lantern"
"Color photo shows a short, octagonal lighthouse, made of beige bricks with a black lantern, adjacent to a building with two foghorns in the foreground.",/static/portals/free-to-use/public-domain/lighthouses/lighthouses-42.jpg,/resource/highsm.12124/,"Split Rock Lighthouse, Lake Superior, Minnesota"
"Black-and-white photo shows a short, octagonal lighthouse that stands next to another tower with a large steamboat going by and the city across the body of water.",/static/portals/free-to-use/public-domain/lighthouses/lighthouses-43.jpg,/resource/det.4a24366/,"""Harbor Entrance and Lights, Buffalo, N.Y."""
Color photo shows a white-painted tower with small red-roofed buildings and palm trees nearby and blue ocean water in the distance.,/static/portals/free-to-use/public-domain/lighthouses/lighthouses-44.jpg,/resource/highsm.12140/,"Point Vicente Light, Rancho Palos Verdes, California"
"Black-and-white photo shows in the distance a square tower and lantern located on the mainland and attached to a low building, with water in the foreground.",/static/portals/free-to-use/public-domain/lighthouses/lighthouses-45.jpg,/resource/ppmsca.09106/,"Tree Point Light, Revillagigedo Channel, Alaska"
Black-and-white photo shows a man looking closely at the lens of a lighthouse.,/static/portals/free-to-use/public-domain/lighthouses/lighthouses-46.jpg,/resource/cph.3c36378/,Frank Schubert polishes the station's lens once a week
"Color photo shows a tower with bands of red and white. Several boats are moored in the harbor in front of the tower, which is reflected in the water.",/static/portals/free-to-use/public-domain/lighthouses/lighthouses-47.jpg,/resource/mrg.10350/,"Harbour Town Lighthouse, Hilton Head, South Carolina"
Color photo shows the top of a  miniature white tower with a blue base and lantern. A green turf putting area is in the foreground.,/static/portals/free-to-use/public-domain/lighthouses/lighthouses-48.jpg,/resource/mrg.02624/,"Lighthouse, Lackland Road Putt-Putt miniature golf course, Fort Worth, Texas"
Color photo shows a  small white tower with bands of black and white at a miniature golf course.,/static/portals/free-to-use/public-domain/lighthouses/lighthouses-49.jpg,/resource/mrg.02697/,"Lighthouse, Mulligan's miniature Golf and Games, Ogden, Utah"
Color photo shows a small tower with walls made from stones and a short lantern on top. Stands in a pond of green water.,/static/portals/free-to-use/public-domain/lighthouses/lighthouses-50.jpg,/resource/highsm.41229/,"A decorative lighthouse, Falls Park pond, Pendleton, Indiana"
